ACTION_NAME, TIMESTAMP
A person was verified if he is a member or not., 11-05-2021 21:05:44
A new book category has been added., 11-05-2021 21:05:57
All the book titles have been shown, 11-05-2021 21:06:09
All the available titles have been shown., 11-05-2021 21:06:22
All the available titles have been shown., 11-05-2021 21:07:55
All the book titles have been shown, 11-05-2021 21:08:00
All the titles from a specific category have been shown., 11-05-2021 21:08:25
All the titles from a specific category have been shown., 11-05-2021 21:10:13
A new member has been added., 12-05-2021 00:27:00
A new member has been added., 12-05-2021 00:31:55
A new member has been added., 12-05-2021 00:33:54
A new member has been added., 12-05-2021 00:38:19
A new member has been added., 12-05-2021 00:39:10
A new member has been added., 12-05-2021 00:40:44
